place_id_x,place_id_y,road_distance
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ9Sszh6YsDogRUUo6zu8_TQY,321
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJA5xPiqYsDogRBBCptdwsGEQ,821
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJHzRIuaUsDogRP_AJdMSgzjI,706
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJhU2sZqAsDogRtIzPkFS5qj0,1405
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJtRSxt28rDogRpo4hEqqjIGk,3320
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJh479BaAsDogRWa7hmywCQCQ,1249
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJD9Dsz6UsDogRu-9zC1mr2o8,336
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJFakjbJcsDogRghZ0HYdk3Io,1218
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJjdRoFFYrDogRz2dolVQVQ0c,2373
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJXWmIuKMsDogRU9zDFF0QQ5M,1462
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJdajrNrAsDogRyBKPsZKlwOs,1314
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJVXvUNKYsDogRQVDQyijJJbk,960
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJR5oqv5gsDogRKqyLD-s-zHY,822
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJn5Pz6bwsDogRuKerVeP_zv4,878
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJn2gRpa4sDogR1WNoXyHTkn0,1743
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJo1w9aLssDogR686u5vc6n3o,608
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJtWwe37wsDogRVIC0hVYvdMQ,792
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJr7zdAKwsDogRrMIKO4_-HT0,1320
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ2WKRwsMsDogRbGtzLAXNAuw,1678
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJA-QLx64sDogRh3IwJOyxFLI,1609
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJTd2xv-gsDogRwsjfQO5V1eE,2918
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJeTZC3aYsDogRuMFhXSacD-Q,346
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJYYypDqQsDogRJ_itp7Hjk_Y,643
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJTZHMAqUsDogRqyWVVG5_938,786
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ3YXd7X0rDogRvmRQk9Titww,3910
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJKcQCIaQsDogRMVQDi8SU-6Q,184
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ85gnvLwsDogRv6ON4Hn4Y2E,462
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJuY56XeksDogR-POEDSCayqc,2662
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJ333461crDogRZod39RtfW2Y,1563
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJx7nAdbssDogRrpx6SeVf2xQ,873
ChIJlUbZ4qMsDogR3tCinMzzKUg,ChIJi37F8KYsDogRC4jkglOf7WQ,707
